"Ranks","Titles","Release.Date","Price","Score","Player.Ratings","Number.of.Votes"
" 1. ","Stardew Valley","26 Feb 2016","$14.99","8.85","98%","777,890"
" 2. ","Portal 2","18 Apr 2011","$9.99","8.84","99%","410,972"
" 3. ","Terraria","16 May 2011","$9.99","8.82","98%","1,345,138"
" 4. ","People Playground","23 Jul 2019","$9.99","8.81","99%","263,755"
" 5. ","Left 4 Dead 2","16 Nov 2009","$9.99","8.79","98%","899,302"
" 6. ","Vampire Survivors","20 Oct 2022","$4.99","8.79","98%","238,423"
" 7. ","Hades","17 Sep 2020","$24.99","8.78","98%","269,801"
" 8. ","Euro Truck Simulator 2","18 Oct 2012","$19.99","8.78","97%","812,175"
" 9. ","Portal","10 Oct 2007","$9.99","8.77","98%","167,205"
" 10.","Garry's Mod","29 Nov 2006","$5.99","8.75","97%","1,108,781"
" 11.","RimWorld","17 Oct 2018","$34.99","8.74","98%","196,391"
" 12.","Lethal Company","23 Oct 2023","$9.99","8.74","97%","444,574"
" 13.","The Binding of Isaac: Rebirth","4 Nov 2014","$14.99","8.73","97%","306,885"
" 14.","Baldur's Gate 3","3 Aug 2023","$59.99","8.72","97%","672,426"
" 15.","Bloons TD 6","17 Dec 2018","$13.99","8.72","97%","332,873"
" 16.","Slay the Spire","23 Jan 2019","$24.99","8.72","98%","168,110"
" 17.","BeamNG.drive","29 May 2015","$24.99","8.71","97%","281,052"
" 18.","Hollow Knight","24 Feb 2017","$14.99","8.71","97%","377,539"
" 19.","Half-Life: Alyx","23 Mar 2020","$59.99","8.71","98%","92,233"
" 20.","Half-Life 2","16 Nov 2004","$9.99","8.71","98%","201,740"
" 21.","Counter-Strike","1 Nov 2000","$9.99","8.71","97%","242,561"
" 22.","Deep Rock Galactic","13 May 2020","$29.99","8.71","97%","315,698"
" 23.","Mount & Blade: Warband","31 Mar 2010","$19.99","8.71","98%","163,536"
" 24.","Slime Rancher","1 Aug 2017","$19.99","8.70","98%","126,403"
" 25.","ULTRAKILL","3 Sep 2020","$24.99","8.70","98%","132,665"
" 26.","Black Myth: Wukong","19 Aug 2024","$59.99","8.70","96%","960,272"
" 27.","Totally Accurate Battle Simulator","1 Apr 2021","$19.99","8.70","98%","129,257"
" 28.","HoloCure - Save the Fans!","16 Aug 2023","Free","8.69","99%","31,703"
" 29.","Resident Evil 4","23 Mar 2023","$39.99","8.69","98%","153,484"
" 30.","Helltaker","11 May 2020","Free","8.69","98%","121,869"
" 31.","Pizza Tower","26 Jan 2023","$19.99","8.69","98%","62,227"
" 32.","The Henry Stickmin Collection","7 Aug 2020","$14.99","8.68","99%","47,062"
" 33.","Subnautica","23 Jan 2018","$29.99","8.68","97%","289,194"
" 34.","Plants vs. Zombies GOTY Edition","5 May 2009","$4.99","8.68","98%","133,504"
" 35.","The Witcher 3: Wild Hunt","18 May 2015","$39.99","8.67","96%","802,819"
" 36.","Katana ZERO","18 Apr 2019","$14.99","8.67","98%","68,193"
" 37.","Stray","19 Jul 2022","$29.99","8.66","97%","146,660"
" 38.","Senren＊Banka","14 Feb 2020","$34.99","8.66","99%","27,070"
" 39.","Dead Cells","6 Aug 2018","$24.99","8.66","97%","159,882"
" 40.","Celeste","25 Jan 2018","$19.99","8.66","97%","109,618"
" 41.","OneShot","1 Dec 2016","$9.99","8.66","98%","48,267"
" 42.","Dyson Sphere Program","20 Jan 2021","$19.99","8.65","98%","81,807"
" 43.","Phasmophobia","18 Sep 2020","$19.99","8.65","96%","720,539"
" 44.","Undertale","15 Sep 2015","$9.99","8.65","97%","242,274"
" 45.","Dishonored","8 Oct 2012","$9.99","8.65","98%","80,454"
" 46.","VPet-Simulator","13 Aug 2023","Free","8.65","98%","42,929"
" 47.","Factorio","14 Aug 2020","$35.00","8.65","97%","196,771"
" 48.","Satisfactory","10 Sep 2024","$39.99","8.65","97%","195,146"
" 49.","Resident Evil 2","24 Jan 2019","$39.99","8.65","97%","162,891"
" 50.","DAVE THE DIVER","28 Jun 2023","$19.99","8.64","97%","113,926"
" 51.","A Short Hike","30 Jul 2019","$7.99","8.64","99%","17,459"
" 52.","American Truck Simulator","2 Feb 2016","$19.99","8.63","97%","163,549"
" 53.","Hotline Miami","23 Oct 2012","$9.99","8.63","97%","99,471"
" 54.","A Hat in Time","5 Oct 2017","$29.99","8.63","98%","50,485"
" 55.","South Park™: The Stick of Truth™","3 Mar 2014","$29.99","8.63","98%","63,000"
" 56.","Doki Doki Literature Club!","22 Sep 2017","Free","8.62","96%","204,387"
" 57.","Inscryption","19 Oct 2021","$19.99","8.62","97%","122,670"
" 58.","OMORI","25 Dec 2020","$19.99","8.62","97%","74,330"
" 59.","Firework","3 Feb 2021","$9.99","8.61","98%","39,968"
" 60.","Cats Hidden in Paris","16 Jul 2023","Free","8.61","99%","16,621"
" 61.","Oxygen Not Included","30 Jul 2019","$24.99","8.61","97%","120,368"
" 62.","Papers, Please","8 Aug 2013","$9.99","8.61","97%","71,210"
" 63.","The Forest","30 Apr 2018","$19.99","8.61","96%","568,084"
" 64.","Don't Starve Together","21 Apr 2016","$14.99","8.61","96%","472,410"
" 65.","The Walking Dead","24 Apr 2012","$14.99","8.61","97%","70,460"
" 66.","BattleBlock Theater®","15 May 2014","$14.99","8.61","97%","70,948"
" 67.","Entropy : Zero 2","20 Aug 2022","Free","8.61","98%","25,597"
" 68.","Tomb Raider","4 Mar 2013","$14.99","8.60","96%","239,906"
" 69.","Ori and the Will of the Wisps","10 Mar 2020","$29.99","8.60","97%","131,384"
" 70.","Balatro","20 Feb 2024","$14.99","8.60","97%","53,804"
" 71.","ATRI -My Dear Moments-","18 Jun 2020","$20.99","8.60","99%","19,495"
" 72.","Cuphead","29 Sep 2017","$19.99","8.60","96%","171,768"
" 73.","Fallout: New Vegas","19 Oct 2010","$9.99","8.60","96%","218,807"
" 74.","Half-Life","8 Nov 1998","$9.99","8.60","97%","134,603"
" 75.","Counter-Strike: Source","1 Nov 2004","$9.99","8.60","96%","175,680"
" 76.","Volcano Princess","20 Apr 2023","$10.99","8.60","98%","36,610"
" 77.","POSTAL 2","14 Apr 2003","$9.99","8.60","97%","106,316"
" 78.","Don't Starve","23 Apr 2013","$9.99","8.60","97%","108,075"
" 79.","Persona 4 Golden","13 Jun 2020","$19.99","8.60","97%","73,189"
" 80.","The Wolf Among Us","11 Oct 2013","$14.99","8.59","98%","34,213"
" 81.","Cats Hidden in Jingle Jam","1 Dec 2023","Free","8.59","100%","9,283"
" 82.","Sid Meier's Civilization® V","21 Sep 2010","$29.99","8.59","96%","200,035"
" 83.","Rhythm Doctor","26 Feb 2021","$15.99","8.59","98%","20,402"
" 84.","Brotato","23 Jun 2023","$4.99","8.59","97%","84,097"
" 85.","Life is Strange - Episode 1","29 Jan 2015","Free","8.59","96%","167,043"
" 86.","STAR WARS™ Empire at War - Gold Pack","16 Feb 2006","$19.99","8.59","98%","37,316"
" 87.","Outlast","4 Sep 2013","$19.99","8.59","96%","120,082"
" 88.","Persona 5 Royal","20 Oct 2022","$59.99","8.58","97%","85,715"
" 89.","Papa's Freezeria Deluxe","31 Mar 2023","$4.79","8.58","99%","9,788"
" 90.","Ravenfield","18 May 2017","$17.99","8.58","97%","70,021"
" 91.","Phoenix Wright: Ace Attorney Trilogy","9 Apr 2019","$9.89","8.58","98%","33,847"
" 92.","The Room","28 Jul 2014","$4.99","8.58","98%","27,644"
" 93.","The Room 4: Old Sins","11 Feb 2021","$8.99","8.58","99%","15,235"
" 94.","Crab Champions","1 Apr 2023","$9.99","8.58","98%","24,048"
" 95.","WEBFISHING","11 Oct 2024","$4.99","8.57","98%","23,517"
" 96.","God of War","14 Jan 2022","$49.99","8.57","96%","144,968"
" 97.","Chants of Sennaar","5 Sep 2023","$19.99","8.57","98%","17,561"
" 98.","Cookie Clicker","1 Sep 2021","$4.99","8.57","97%","71,258"
" 99.","Divinity: Original Sin 2 - Definitive Edition","14 Sep 2017","$44.99","8.57","96%","183,808"
" 100","Broforce","15 Oct 2015","$14.99","8.57","97%","57,743"
" 101","INSIDE","7 Jul 2016","$19.99","8.57","97%","63,198"
" 102","Our Life: Beginnings & Always","16 Nov 2020","Free","8.57","99%","11,688"
